Address,Address (AllAddressesCombined),Bldg Name,Bldg Name (AllAddressesCombined),Bldg No.,Bldg No. (AllAddressesCombined),City,City (AllAddressesCombined),Code,Code (AllAddressesCombined),GIS Comments,State,State (AllAddressesCombined),Zip,LatDiff,LongDiff
597 SOUTH UPPER ST,597 SOUTH UPPER ST,Taylor Education Bldg,Taylor Education Bldg,1,1,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041566,-84.505987
110 SCOTT ST,110 SCOTT ST,SCOTT ST Bldg,SCOTT ST Bldg,2,2,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039634,-84.506717
111 WASHINGTON AVE,111 WASHINGTON AVE,Research Facility #1,Research Facility #1,3,3,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035436,-84.506777
598 SOUTH UPPER ST,598 SOUTH UPPER ST,Central Heating Plant #2,Central Heating Plant #2,4,4,Lexington,Lexington,0,0,KY,KY,40506,40506,38.054631,-84.487209
411 SOUTH LIMESTONE ST,411 SOUTH LIMESTONE ST,Frank D. Peterson Service Bldg,Frank D. Peterson Service Bldg,5,5,Lexington,Lexington,0,0,KY,KY,40506,40506,38.04143,-84.503999
101 AVENUE OF CHAMPIONS,101 AVENUE OF CHAMPIONS,Holmes Hall,Holmes Hall,6,6,Lexington,Lexington,0,0,KY,KY,40526,40526,38.041524,-84.503834
103 AVENUE OF CHAMPIONS,103 AVENUE OF CHAMPIONS,Jewell Hall,Jewell Hall,7,7,Lexington,Lexington,0,0,KY,KY,40526,40526,38.041481,-84.50379
124 CAMPUS DR,124 CAMPUS DR,Boyd Hall,Boyd Hall,8,8,Lexington,Lexington,0,0,KY,KY,40526,40526,38.041987,-84.502359
335 SOUTH MLK BLVD,335 SOUTH MLK BLVD,Patterson Hall,Patterson Hall,9,9,Lexington,Lexington,0,0,KY,KY,40526,40526,38.041357,-84.500976
342 SOUTH LIMESTONE ST,342 SOUTH LIMESTONE ST,Hamilton House,Hamilton House,10,10,Lexington,Lexington,0,0,KY,KY,40508,40508,38.041818,-84.501717
121 CAMPUS DR,121 CAMPUS DR,Keeneland Hall,Keeneland Hall,11,11,Lexington,Lexington,0,0,KY,KY,40526,40526,38.042006,-84.502332
343 SOUTH MLK BLVD,343 SOUTH MLK BLVD,Blazer Hall,Blazer Hall,12,12,Lexington,Lexington,0,0,KY,KY,40526,40526,38.040986,-84.501276
2500 RESEARCH PARK DR,2500 RESEARCH PARK DR,KGS Core Library,KGS Core Library,13,13,Lexington,Lexington,84,84,KY,KY,40511,40511,38.135346,-84.510109
500 ROSE ST,500 ROSE ST,Boone Faculty Center,Boone Faculty Center,14,14,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035114,-84.502191
450 ROSE ST,450 ROSE ST,Sturgill (William B.) Development Bldg,Sturgill (William B.) Development Bldg,15,15,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036814,-84.501188
140 HUGUELET DR,140 HUGUELET DR,Gatehouse KY Clinic,Gatehouse KY Clinic,16,16,Lexington,Lexington,0,0,KY,KY,40536,40536,38.033138,-84.505823
251 SCOTT ST,251 SCOTT ST,Dickey Hall,Dickey Hall,17,17,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039659,-84.506698
201 AVENUE OF CHAMPIONS,201 AVENUE OF CHAMPIONS,Memorial Coliseum,Memorial Coliseum,19,19,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039567,-84.501706
531 SOUTH LIMESTONE ST,531 SOUTH LIMESTONE ST,Engineering Transportation Research Garage,Engineering Transportation Research Garage,20,20,Lexington,Lexington,0,0,KY,KY,40506,40506,38.038435,-84.507142
421 ROSE ST,421 ROSE ST,Old Engineers Residence,Old Engineers Residence,21,21,Lexington,Lexington,0,0,KY,KY,40506,40506,38.037117,-84.501147
465 ROSE ST,465 ROSE ST,Fine Arts Guignol Bldg,Fine Arts Guignol Bldg,22,22,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036926,-84.501959
