Category,Case Number,Month,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,Addressess-updated-v-2_Address (AllAddressesCombined),Addressess-updated-v-2_Bldg Name,Addressess-updated-v-2_Bldg Name (AllAddressesCombined),Addressess-updated-v-2_Bldg No.,Addressess-updated-v-2_Bldg No. (AllAddressesCombined),Addressess-updated-v-2_City,Addressess-updated-v-2_City (AllAddressesCombined),Addressess-updated-v-2_Code,Addressess-updated-v-2_Code (AllAddressesCombined),Addressess-updated-v-2_GIS Comments,Addressess-updated-v-2_State,Addressess-updated-v-2_State (AllAddressesCombined),Addressess-updated-v-2_Zip,Addressess-updated-v-2_LatDiff,Addressess-updated-v-2_LongDiff,Lat,Long,LATITUDE,LONGITUDE
Alcohol Intoxication,20130001,1,01/01/2013 - 12:40am,1/1/2013,110 TRANSCRIPT AVENUE,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
DUI,20130002,1,01/01/2013 - 1:10am,1/1/2013,NICHOLASVILLE ROAD,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08(AGG CIRCUM)/M; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEHICLE PROHIBITED,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Assault,20130006,1,01/01/2013 - 5:30pm,1/1/2013,310 SOUTH LIMESTONE ST,"ASSAULT 3RD (EMS, FIRE, RESCUE SQUAD)/F",No,Closed,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
DUI,20130007,1,01/01/2013 - 8:10pm,1/1/2013,COMPLEX DRIVE,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08/M; CARRYING A CONCEALED WEAPON/M; CARELESS DRIVING; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; FAILURE OF OWNER TO MAINTAIN REQUIRED INSURANCE/M,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
DUI,2012205988,1,12/28/2012 - 2:27am,1/2/2013,TATES CREEK RD & ALUMNI DR,"DUI ALC/DRUGS/ECT 1ST W/AGG CIRCUMSTANCES, FAILURE TO ILLUMINATE HEAD LAMPS",No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
DUI,20130011,1,01/02/2013 - 2:39am,1/2/2013,ALUMNI DRIVE,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08(AGG CIRCUM)/M,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Burglary,20130015,1,12/21/2012 - 5:00pm,1/2/2013,606 SOUTH LIMESTONE ST,BURGLARY 3RD/F,No,Open,606 SOUTH LIMESTONE ST,C. W. Mathews Bldg,C. W. Mathews Bldg,47,47,Lexington,Lexington,0,0,KY,KY,40506,40506,38.037508,-84.507375,38.037508,-84.507375,38,-85
Theft,20130012,1,12/21/2012 - 4:00pm,1/2/2013,512 ADMINISTRATION DRIVE,TBUT OR DISP FROM BUILDING/F,No,Open,,,,,,,,,,,,,,,,,,,
Terroristic Threatening,20130013,1,01/01/2013 - 8:14pm,1/2/2013,754 WOODLAND AVENUE,TERRORISTIC THREATENING 3RD/M,No,Open,,,,,,,,,,,,,,,,,,,
Criminal Mischief,20130014,1,12/21/2012 - 4:00pm,1/2/2013,404 ADMINISTRATION DRIVE,CRIMINAL MISCHIEF 1ST/F,No,Closed,,,,,,,,,,,,,,,,,,,
Criminal Mischief,20130018,1,12/30/2012 - 12:00am,1/2/2013,310 SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 2ND/M,No,Closed,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
DUI,201300176,1,01/01/2013 - 3:35am,1/3/2013,S MARTIN LUTHER KING BLVD & E HIGH ST,"DUI ALC/DRUGS/ECT 1ST W/AGG CIRCUMSTANCES, DISREGARDING TRAFFIC CONTROL DEVICE, TRAFFIC LIGHT",No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,2013000081,1,01/01/2013 - 12:25am,1/3/2013,PINE ST & S LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE-1ST & 2ND OFFENSE,No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,2013000091,1,01/01/2013 - 1:30am,1/3/2013,PINE ST & S LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE-1ST & 2ND OFFENSE,No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Terroristic Threatening,2012207469,1,12/29/2012 - 12:00am,1/3/2013,300 ALUMNI DRIVE,TERRORISTIC THREATENING 3RD/M,Yes,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Theft,20130023,1,01/03/2013 - 2:15am,1/3/2013,800 ROSE STREET,TBUT OR DISP BUILDING/M,No,Closed,,,,,,,,,,,,,,,,,,,
Theft,20130027,1,01/03/2013 - 9:30am,1/3/2013,460 ROSE STREET,TBUT OR DISP BUILDING/M,No,Closed,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130032,1,01/03/2013 - 11:11pm,1/3/2013,1000 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Cleared By Arrest,1000 SOUTH LIMESTONE ST,Patient Care Facility (Pavilion A),Patient Care Facility (Pavilion A),602,602,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031528,-84.509463,38.031528,-84.509463,38,-85
Theft,20130040,1,01/03/2013 - 6:00pm,1/4/2013,310 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Closed,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Robbery,20130049,1,01/05/2013 - 11:00am,1/5/2013,310 SOUTH LIMESTONE ST,ROBBERY 2ND/F; CRIMINAL TRESPASSING 2ND/M,No,Cleared By Arrest,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Drug Violations,20130058,1,01/06/2013 - 11:46pm,1/6/2013,1000 SOUTH LIMESTONE ST,POSS CONT SUB 3RD/M,No,Open,1000 SOUTH LIMESTONE ST,Patient Care Facility (Pavilion A),Patient Care Facility (Pavilion A),602,602,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031528,-84.509463,38.031528,-84.509463,38,-85
Theft,20130057,1,01/03/2013 - 6:15pm,1/6/2013,338 LEXINGTON AVENUE,TBUT OR DISP FROM BUILDING/F,No,Open,,,,,,,,,,,,,,,,,,,
Drug Violations,2013002127,1,01/05/2013 - 2:30am,1/7/2013,357 S LIMESTONE ST,"UNLAWFUL TRANSACTION W/MINOR-3RD/F, POSS CONTROLLED SUBSTANCE 2ND-DRUG UNSPECIF/M, DRUG PARAPHERNALIA-BUY/POSSESS/M, DISORDERLY CONDUCT/M, OPERATING ON SUSPENDED/REVOKED OPERATORS LICENSE/M, OPEN ALCOHOL BEVERAGE CONTAINER IN AUTO, PROMOTING CONTRABAND 1ST/F",No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Harassment,20130059,1,01/07/2013 - 4:00am,1/7/2013,310 SOUTH LIMESTONE ST,HARASSMENT-PHYSICAL CONTACT-NO INJURY/M,No,Open,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Drug Violations,2013003391,1,01/07/2013 - 2:15am,1/7/2013,339 Oldham Avenue,"Assist reference Menacing, Resisting Arrest, Possession of Marijuana, Possession of Drug Paraphernalia",Yes,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130071,1,01/08/2013 - 2:39am,1/8/2013,303 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Theft,20130073,1,01/07/2013 - 7:00pm,1/8/2013,101 AVENUE OF CHAMPIONS,TBUT OR DISP BICYCLES/M,No,Open,101 AVENUE OF CHAMPIONS,Holmes Hall,Holmes Hall,6,6,Lexington,Lexington,0,0,KY,KY,40526,40526,38.041524,-84.503834,38.041524,-84.503834,38,-85
Theft,20130074,1,01/07/2013 - 2:00pm,1/8/2013,600 ROSE STREET,TBUT OR DISP BICYCLES/M,No,Closed,,,,,,,,,,,,,,,,,,,
Criminal Mischief,20130075,1,01/07/2013 - 6:00pm,1/8/2013,411 PENNSYLVANIA AVENUE,CRIMINAL MISCHIEF 3RD/M,Yes,Open,,,,,,,,,,,,,,,,,,,
DUI,20130078,1,01/09/2013 - 1:19am,1/9/2013,SOUTH LIMESTONE ST,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08/M,No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Theft,20130079,1,12/14/2012 - 9:00pm,1/9/2013,765 WOODLAND AVENUE,TBUT OR DISP FROM BUILDING/F,No,Closed,,,,,,,,,,,,,,,,,,,
Drug Violations,20130080,1,01/09/2013 - 6:25pm,1/9/2013,758 WOODLAND AVENUE,POSSESSION OF MARIJUANA/M; DRUG PARAPHERNALIA-BUY/POSSESS/M,Yes,Expunged,,,,,,,,,,,,,,,,,,,
Theft,20130082,1,01/09/2013 - 4:00pm,1/9/2013,121 WASHINGTON AVENUE,TBUT OR DISP BUILDING/M,No,Open,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20130084,1,01/09/2013 - 11:50pm,1/9/2013,310 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE; DISORDERLY CONDUCT 2ND/M,No,Cleared By Arrest,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
