Category,Case Number,Crime Date and Time,Report Date,Country,State,City,Location,Incident Description,Residential Occurance,Disposition
Theft,2013202768,12/13/2013 - 3:00pm,12/23/2013,United States,Kentucky,Lexington,245 FOUNTAIN CT,"TBUT OR DISP ALL OTHERS OVER $500 BUT U/$10,000/F",No,Closed - Lexington Police Report
Theft,20133478,12/20/2013 - 3:30pm,12/23/2013,United States,Kentucky,Lexington,430 STADIUM VIEW,TBUT OR DISP ALL OTHERS U/$500/M,No,Open
Theft,20133477,12/20/2013 - 1:00pm,12/23/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE ST,TBUT OR DISP POCKETPICKING U/$500/M,No,Closed
Theft,20133431,12/11/2013 - 12:00pm,12/18/2013,United States,Kentucky,Lexington,512 ADMINISTRATION DR,TBUT OR DISP BICYCLES U/$500/M,No,Closed
Theft,20133426,12/13/2013 - 12:00pm,12/17/2013,United States,Kentucky,Lexington,167 FUNKHOUSER DR,TBUT OR DISP BICYCLES U/$500/M,No,Open
Theft,20133424,12/05/2013 - 7:00pm,12/17/2013,United States,Kentucky,Lexington,138 LEADER AVE,TBUT OR DISP FROM BUILDING $500/M,No,Closed
Theft,20133415,12/16/2013 - 9:30am,12/16/2013,United States,Kentucky,Lexington,404 ADMINISTRATION DR,TBUT OR DISP BICYCLES U$500/M,No,Closed
Theft,20133420,12/16/2013 - 9:40pm,12/16/2013,United States,Kentucky,Lexington,201 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133423,12/12/2013 - 10:00pm,12/16/2013,United States,Kentucky,Lexington,758 WOODLAND AVE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Yes,Closed
Theft,20133405,12/14/2013 - 9:00pm,12/15/2013,United States,Kentucky,Lexington,201 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING U/$500/M,No,Open
Theft,20133382,11/01/2012 - 12:01am,12/13/2013,United States,Kentucky,Lexington,504 ROSE ST,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,No,Open
Theft,20133370,11/29/2013 - 1:45pm,12/12/2013,United States,Kentucky,Lexington,720 SPORTS CENTER DR,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20133371,11/21/2013 - 3:30pm,12/12/2013,United States,Kentucky,Lexington,769 WOODLAND AVE,TBUT OR DISP BICYCLES U/$500/M,No,Closed
Theft,20133364,12/11/2013 - 3:30pm,12/11/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Open
Theft,20133363,12/11/2013 - 8:00am,12/11/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed
Theft,20133366,12/11/2013 - 5:00pm,12/11/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133352,12/10/2013 - 3:00pm,12/10/2013,United States,Kentucky,Lexington,115 HUGUELET DR,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",No,Closed
Theft,20133349,12/06/2013 - 5:00pm,12/10/2013,United States,Kentucky,Lexington,342 ROSE ST,TBUT OR DISP ALL OTHERS U/$500/M,No,Open
Theft,20133342,12/04/2013 - 11:00am,12/9/2013,United States,Kentucky,Lexington,769 WOODLAND AVE,TBUT OR DISP FROM BUILDING U/$500/M,Yes,Closed
Theft,20133343,12/09/2013 - 7:00pm,12/9/2013,United States,Kentucky,Lexington,721 SPORTS CENTER DR,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Open
Theft,20133337,12/09/2013 - 10:30am,12/9/2013,United States,Kentucky,Lexington,404 SOUTH LIMESTONE ST,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20133332,11/08/2013 - 8:00am,12/8/2013,United States,Kentucky,Lexington,769 WOODLAND AVE,"RECEIVING STOLEN PROPERTY U/$10,000/F, TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Yes,Citation issued
Theft,20133292,12/05/2013 - 7:56am,12/5/2013,United States,Kentucky,Lexington,740 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open
Theft,20133296,11/18/2013 - 8:00am,12/5/2013,United States,Kentucky,Lexington,447 PENNSYLVANIA AVE,TBUT OR DISP ALL OTHERS U/$500/M,Yes,Closed
Theft,20133301,12/05/2013 - 1:30pm,12/5/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20133297,12/04/2013 - 2:00pm,12/5/2013,United States,Kentucky,Lexington,SCOTT ST,TBUT OR DISP ALL OTHERS U/$500/M,No,Open
Theft,20133284,12/04/2013 - 1:50pm,12/4/2013,United States,Kentucky,Lexington,140 PATTERSON DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20133279,11/26/2013 - 5:00pm,12/4/2013,United States,Kentucky,Lexington,232 EAST MAXWELL ST,TBUT DISP ALL OTHERS U/$500/M,No,Closed
Theft,20133281,12/04/2013 - 8:00am,12/4/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed
Theft,20133277,11/27/2013 - 4:00pm,12/4/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed
Theft,20133257,12/02/2013 - 12:30pm,12/2/2013,United States,Kentucky,Lexington,404 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Open
Theft,20133260,11/29/2013 - 4:00pm,12/2/2013,United States,Kentucky,Lexington,140 PATTERSON DR,TBUT OR DISP BICYCLES U/$500/M,No,Closed
