Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
"THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE $10,000 OR MORE/F",430 STADIUM VIEW  ,Lexington,Kentucky,United States of America,Theft,1/1/2015 13:00,1,Open,430 STADIUM VIEW,20150215,"THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE $10,000 OR MORE/F",Theft,Open,430 STADIUM VIEW
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/1/2015 13:00,1,Closed,800 ROSE ST,20151197,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,800 ROSE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",179 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,1/5/2015 18:25,1,Open,179 FUNKHOUSER DR,20150065,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,179 FUNKHOUSER DR
TBUT OR DISP FROM BUILDING U/$500/M,180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,1/6/2015 15:00,1,Closed,180 AVENUE OF CHAMPIONS,20150096,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,180 AVENUE OF CHAMPIONS
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/6/2015 21:25,1,Open,1000 SOUTH LIMESTONE ST,20150052,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Open,1000 SOUTH LIMESTONE ST
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",675 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/7/2015 16:00,1,Open,675 ROSE ST,20150056,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,675 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/10/2015 20:00,1,Closed,310 SOUTH LIMESTONE ST,20150084,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLE U/$500/M,1608 UNIVERSITY CT  ,Lexington,Kentucky,United States of America,Theft,1/11/2015 22:00,1,Closed,1608 UNIVERSITY CT,20150204,TBUT OR DISP BICYCLE U/$500/M,Theft,Closed,1608 UNIVERSITY CT
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/12/2015 4:59,1,Closed,310 SOUTH LIMESTONE ST,20150109,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/12/2015 22:00,1,Unfounded,1000 SOUTH LIMESTONE ST,20150099,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Unfounded,1000 SOUTH LIMESTONE ST
TBUT CONTENTS FROM VEHICLE U/$500/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,1/13/2015 12:30,1,Closed,1540 UNIVERSITY DR,20150119,TBUT CONTENTS FROM VEHICLE U/$500/M,Theft,Closed,1540 UNIVERSITY DR
TBUT OR DISP FROM BUILDING U/$500/M,705 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,1/13/2015 23:30,1,Open,705 SPORTS CENTER DR,20150111,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,705 SPORTS CENTER DR
