Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
"DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT/V, DISREGARDING STOP SIGN/V, RECKLESS DRIVING/V, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08(AGG CIRCUM) 1ST OFF/M.",UNIVERSITY DR AND HILLTOP AVE  ,Lexington,Kentucky,United States of America,DUI,1/1/2015 5:36,Cleared By Arrest,UNIVERSITY DR AND HILLTOP AVE,20150001,"DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT/V, DISREGARDING STOP SIGN/V, RECKLESS DRIVING/V, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08(AGG CIRCUM) 1ST OFF/M.",DUI,Cleared By Arrest,UNIVERSITY DR AND HILLTOP AVE
ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE/V.,JERSEY ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/1/2015 7:06,Cleared By Arrest,JERSEY ST,20150003,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE/V.,Alcohol Intoxication,Cleared By Arrest,JERSEY ST
"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08(AGG CIRCUM) 1ST OFF/M, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M.",TRANSYLVANIA PARK AND EUCLID AVE  ,Lexington,Kentucky,United States of America,Drug Violations,1/1/2015 5:47,Cleared By Arrest,TRANSYLVANIA PARK AND EUCLID AVE,20150002,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08(AGG CIRCUM) 1ST OFF/M, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M.",Drug Violations,Cleared By Arrest,TRANSYLVANIA PARK AND EUCLID AVE
ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE/V,SOUTH LIMESTONE ST AND VIRGINIA AVE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/1/2015 7:45,Cleared By Arrest,SOUTH LIMESTONE ST AND VIRGINIA AVE,20150004,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE/V,Alcohol Intoxication,Cleared By Arrest,SOUTH LIMESTONE ST AND VIRGINIA AVE
"FAILURE TO ILLUMINATE HEAD LAMPS/V, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08(AGG CIRCUM) 1ST OFF/M.",SOUTH LIMESTONE ST AND EAST MAXWELL ST  ,Lexington,Kentucky,United States of America,DUI,1/1/2015 8:56,Cleared By Arrest,SOUTH LIMESTONE ST AND EAST MAXWELL ST,20150005,"FAILURE TO ILLUMINATE HEAD LAMPS/V, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08(AGG CIRCUM) 1ST OFF/M.",DUI,Cleared By Arrest,SOUTH LIMESTONE ST AND EAST MAXWELL ST
ASSAULT 4TH/M,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/1/2015 0:33,Closed CSA,1350 BULL LEA RD,CSA20141801,ASSAULT 4TH/M,Assault,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF 1ST/F,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/2/2015 0:07,Cleared By Arrest,1350 BULL LEA RD,20150006,CRIMINAL MISCHIEF 1ST/F,Criminal Mischief,Cleared By Arrest,1350 BULL LEA RD
"CARELESS DRIVING, OBSTRUCTED VISION AND/OR WINDSHIELD, FAILURE OF NON-OWNER OPERATOR TO MAINTAIN REQ INS/SEC 1ST OFF/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS CONT SUB 1ST DEG 1ST OFF (HEROIN)/F, FAILURE TO NOTIFY ADRS CHANGE TO DEPT OF TRANS/M",SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Drug Violations,1/2/2015 7:02,Cleared By Arrest,SOUTH LIMESTONE ST,20150009,"CARELESS DRIVING, OBSTRUCTED VISION AND/OR WINDSHIELD, FAILURE OF NON-OWNER OPERATOR TO MAINTAIN REQ INS/SEC 1ST OFF/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS CONT SUB 1ST DEG 1ST OFF (HEROIN)/F, FAILURE TO NOTIFY ADRS CHANGE TO DEPT OF TRANS/M",Drug Violations,Cleared By Arrest,SOUTH LIMESTONE ST
CRIMINAL TRESPASSING 3RD,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Criminal Trespass,1/2/2015 8:46,Cleared By Arrest,310 SOUTH LIMESTONE ST,20150010,CRIMINAL TRESPASSING 3RD,Criminal Trespass,Cleared By Arrest,310 SOUTH LIMESTONE ST
"FAILURE TO OR IMPROPER SIGNAL, OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE/M, POSSESSION OF SYNTHETIC DRUGS - CLASS B MISDEMEANOR/M ",EAST MAXWELL ST & KENTUC AVE  ,Lexington,Kentucky,United States of America,Drug Violations,1/2/2015 22:52,Citation Issued,EAST MAXWELL ST & KENTUCKY AVE,20150013,"FAILURE TO OR IMPROPER SIGNAL, OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE/M, POSSESSION OF SYNTHETIC DRUGS - CLASS B MISDEMEANOR/M ",Drug Violations,Citation Issued,EAST MAXWELL ST & KENTUCKY AVE
"CARELESS DRIVING, POSS OF MARIJUANA/M, UNLAWFUL TRANSACTION W/MINOR 3RD DEGREE/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",SOUTH LIMESTONE ST & WARREN CT  ,Lexington,Kentucky,United States of America,Drug Violations,1/3/2015 5:03,Citation Issued,SOUTH LIMESTONE ST & WARREN CT,20150015,"CARELESS DRIVING, POSS OF MARIJUANA/M, UNLAWFUL TRANSACTION W/MINOR 3RD DEGREE/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Drug Violations,Citation Issued,SOUTH LIMESTONE ST & WARREN CT
OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M,NICHOLASVILLE RD & FARM RD  ,Lexington,Kentucky,United States of America,DUI,1/3/2015 5:32,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,20150016,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M,DUI,Cleared By Arrest,NICHOLASVILLE RD & FARM RD
"ASSAULT 2ND DEGREE/F, CRIMINAL MISCHIEF 1ST/F",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/3/2015 16:00,Cleared By Arrest,1350 BULL LEA RD,20150017,"ASSAULT 2ND DEGREE/F, CRIMINAL MISCHIEF 1ST/F",Assault,Cleared By Arrest,1350 BULL LEA RD
"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M, ASSAULT 4TH DEGREE (NO VISIBLE INJURY)/M",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,1/3/2015 21:21,Cleared By Arrest,310 SOUTH LIMESTONE ST,20150019,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M, ASSAULT 4TH DEGREE (NO VISIBLE INJURY)/M",Assault,Cleared By Arrest,310 SOUTH LIMESTONE ST
"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > MORE OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/4/2015 17:30,Closed,310 SOUTH LIMESTONE ST,20150032,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > MORE OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M",Alcohol Intoxication,Closed,310 SOUTH LIMESTONE ST
"NO REGISTRATION PLATES, CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",562 WOODLAND AVE  ,Lexington,Kentucky,United States of America,DUI,1/5/2015 2:33,Cleared By Arrest,562 WOODLAND AVE,20150041,"NO REGISTRATION PLATES, CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",DUI,Cleared By Arrest,562 WOODLAND AVE
ALCOHOL INTOXICATION IN A PUBLIC PLACE,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/1/2015 6:35,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD,201500011,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD
ALCOHOL INTOXICATION IN A PUBLIC PLACE,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/3/2015 16:57,Closed N/A,310 SOUTH LIMESTONE ST,201500301,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed N/A,310 SOUTH LIMESTONE ST
