Category,Case Number,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,,,,,,,,,,,,,,
Weapons Possession,20133533,12/31/2013 - 1:27am,12/31/2013,COOPER DR & ELDEMERE RD,"DRUG PARAPHERNALIA - BUY/POSSESS/M, CARRYING A CONCEALED WEAPON/M",No,Cleared By Arrest,,,,,,,,,,,,,
Assault,20133540,12/31/2013 - 10:20pm,12/31/2013,310 SOUTH LIMESTONE ST,ASSAULT 4TH (NO VISIBLE INJURY)/M,No,Closed - Cleared By Exception,,,,,,,,,,,,,,
Drug Violations,2013208666,12/31/2013 - 11:51pm,12/31/2013,FIREBROOK BLVD,"ASSIST METRO REF NARCOTICS DETECTION K9 - OPER MTR VEHICLE UNDER THE INFLUENCE/M, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Closed - Lexington Police Report,,,,,,,,,,,,
Assault,CSA20130151,12/31/2013 - 6:30pm,12/31/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20133526,12/30/2013 - 12:03am,12/30/2013,SOUTH LIMESTONE ST & COOPER DR,"DISREGARDING TRAFFIC CONTROL DEVICE, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, LICENSE TO BE IN POSSESSION/M, FAILURE TO PRODUCE INSURANCE CARD, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, POSS OF MARIJUANA/M",No,Cleared By Arrest,,,,,,,,,
DUI,20133527,12/30/2013 - 2:24am,12/30/2013,SOUTH LIMESTONE ST & CONN TERR,"SPEEDING 11 MPH OVER LIMIT, FLEEING OR EVADING POLICE 1ST DEGREE (MOTOR VEHICLE)/F, DRIVING DUI SUSPENDED LICENSE 2ND OFF (AGG CIRCUM)/F, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, RESISTING ARREST/M",No,Cleared By Arrest,,,,,,,,
Assault,CSA20130150,12/30/2013 - 12:50pm,12/30/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20133518,12/29/2013 - 3:40am,12/29/2013,EAST MAXWELL ST & SOUTH MLK BLVD,"DRUG PARAPHERNALIA - BUY/POSSESS/M, RECKLESS DRIVING, FAILURE TO PRODUCE INSURANCE CARD, NO REGISTRATION PLATES, INTERMEDIATE LICENSE VIOLATION",No,Citation issued,,,,,,,,,,
Criminal Mischief,CSA20130147,12/29/2013 - 10:20am,12/29/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130148,12/29/2013 - 3:50pm,12/29/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130149,12/29/2013 - 6:00pm,12/29/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Disorderly Conduct,20133504,12/28/2013 - 1:49am,12/28/2013,NICHOLASVILLE RD & FARM RD,"DISORDERLY CONDUCT 2ND/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED",No,Cleared By Arrest,,,,,,,,,,,,,
Alcohol Intoxication,20133513,12/28/2013 - 11:30pm,12/28/2013,740 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Drug Violations,20133503,12/28/2013 - 12:40am,12/28/2013,1000 SOUTH LIMESTONE ST,"DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS OF MARIJUANA/M",No,Closed,,,,,,,,,,,,,
Assault,CSA20130146,12/28/2013 - 5:24pm,12/28/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20133497,12/27/2013 - 2:10am,12/27/2013,SOUTH LIMESTONE ST & VIRGINIA AVE,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,,,,,,,,,,,,,
DUI,20133498,12/27/2013 - 2:50am,12/27/2013,265 AVENUE OF CHAMPIONS,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M,No,Cleared By Arrest,,,,,,,,,,,,,,
Harassment,20133500,12/27/2013 - 8:30am,12/27/2013,800 ROSE ST,HARASSMENT (NO PHYSICAL CONTACT),No,Open,,,,,,,,,,,,,,
Burglary,20133501,12/09/2013 - 8:00am,12/27/2013,508 ADMINISTRATION DR,BURGLARY 2ND/F,No,Open,,,,,,,,,,,,,,
Assault,CSA20130143,12/27/2013 - 10:50am,12/27/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130144,12/27/2013 - 3:00pm,12/27/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20130145,12/27/2013 - 5:25pm,12/27/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,,,,,,,,,,,,,,
DUI,2013203400,12/21/2013 - 2:50am,12/26/2013,EUCLID AVE & AYLESFORD PL,DUI ALC/DRUGS/ECT 1ST/M,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Criminal Mischief,20133494,12/14/2013 - 8:00am,12/26/2013,COMPLEX DR,CRIMINAL MISCHIEF 3RD/M,No,Closed,,,,,,,,,,,,,,
Assault,CSA20130142,12/26/2013 - 10:44pm,12/26/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130136,12/24/2013 - 10:05pm,12/25/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130137,12/24/2013 - 10:45pm,12/25/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130138,12/25/2013 - 12:15am,12/25/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130139,12/25/2013 - 11:00am,12/25/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130140,12/25/2013 - 11:50am,12/25/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130141,12/25/2013 - 6:46pm,12/25/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20133487,12/24/2013 - 12:26am,12/24/2013,800 ROSE ST,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE), DISORDERLY CONDUCT 2ND/M",No,Cleared By Arrest,,,,,,,,,,,,,
Terroristic Threatening,20133490,12/24/2013 - 11:00pm,12/24/2013,310 SOUTH LIMESTONE ST,TERRORISTIC THREATENING 3RD/M,No,Open,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130124,12/24/2013 - 12:54am,12/24/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130125,12/24/2013 - 2:25am,12/24/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130126,12/24/2013 - 7:25am,12/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20130127,12/24/2013 - 11:15am,12/24/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20130128,12/24/2013 - 8:45am,12/24/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130129,12/24/2013 - 7:41am,12/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130130,12/24/2013 - 9:50am,12/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130131,12/24/2013 - 9:20am,12/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130132,12/24/2013 - 1:15pm,12/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130133,12/24/2013 - 3:40pm,12/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130134,12/24/2013 - 6:05pm,12/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130135,12/24/2013 - 7:10pm,12/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,2013202696,12/20/2013 - 2:57am,12/23/2013,PINE ST & JERSEY ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Assault,CSA20130119,12/22/2013 - 10:25pm,12/23/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130120,12/22/2013 - 11:53pm,12/23/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Theft,2013202768,12/13/2013 - 3:00pm,12/23/2013,245 FOUNTAIN CT,"TBUT OR DISP ALL OTHERS OVER $500 BUT U/$10,000/F",No,Closed - Lexington Police Report,,,,,,,,,,,,,
Theft,20133478,12/20/2013 - 3:30pm,12/23/2013,430 STADIUM VIEW,TBUT OR DISP ALL OTHERS U/$500/M,No,Open,,,,,,,,,,,,,,
Criminal Trespass,20133486,12/23/2013 - 11:25pm,12/23/2013,310 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20133477,12/20/2013 - 1:00pm,12/23/2013,310 SOUTH LIMESTONE ST,TBUT OR DISP POCKETPICKING U/$500/M,No,Closed,,,,,,,,,,,,,,
Assault,CSA20130121,12/23/2013 - 9:50am,12/23/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130122,12/23/2013 - 10:30am,12/23/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130123,12/23/2013 - 1:15pm,12/23/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20133464,12/22/2013 - 2:41am,12/22/2013,SOUTH LIMESTONE ST & VIRGINIA AVE,"NO REGISTRATION PLATES, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 2ND/M, FAILURE TO PRODUCE INSURANCE CARD, OPERATING ON SUS OR REV OPER LICENSE/M",No,Cleared By Arrest,,,,,,,,,,,
Drug Violations,20133470,12/22/2013 - 8:02pm,12/22/2013,HILLTOP AVE & UNIVERSITY DR,"DISREGARDING STOP SIGN, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Citation issued,,,,,,,,,,,,
Assault,CSA20130116,12/21/2013 - 11:35pm,12/22/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20130117,12/22/2013 - 5:34pm,12/22/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130118,12/22/2013 - 8:30pm,12/22/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20133451,12/21/2013 - 12:30am,12/21/2013,UNIVERSITY DR & HUGUELET DR,"UNLAWFUL TRANSACTION W/MINOR 3RD DEGREE/M, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M, PMT UNLICENSED OPERATOR TO OPERATE MOTOR VEHICLE/M",No,Citation issued,,,,,,,,,,,
Alcohol Intoxication,20133453,12/21/2013 - 2:59am,12/21/2013,ROSE ST & COLUMBIA AVE,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE) X3, CRIMINAL TRESPASSING 3RD X4, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M X2",No,Cleared By Arrest,,,,,,,,,,,,
DUI,20133454,12/21/2013 - 2:50am,12/21/2013,NICHOLASVILLE RD & ALUMNI DR,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,,,,,,,,,,,,,
Criminal Mischief,CSA20130114,12/21/2013 - 5:54am,12/21/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130115,12/21/2013 - 3:50pm,12/21/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20133445,12/20/2013 - 2:40am,12/20/2013,NICHOLASVILLE RD & ALUMNI DR,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,,,,,,,,,,,,,
Harassment,20133455,12/20/2013 - 9:55pm,12/20/2013,1000 SOUTH LIMESTONE ST,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,No,Closed - Cleared By Exception,,,,,,,,,,,,,,
